Front	Back	Tags
What is escape analysis in Go?	The compiler's compile-time decision of whether to allocate a variable on the stack or heap. If the variable outlives the function (e.g. returned by pointer), it escapes to the heap. Run `go build -gcflags="-m"` to see decisions.	foundry::fundamentals::variables-and-types foundry::go
What are the two components of a Go string header?	A pointer to the byte data (8 bytes) and the length in bytes (8 bytes) = 16 bytes total. The actual characters live elsewhere.	foundry::fundamentals::variables-and-types foundry::go
What does `len()` return on a Go string?	Bytes, not characters. `len("café")` is 5 because `é` is 2 bytes in UTF-8. Use `utf8.RuneCountInString()` for character count.	foundry::fundamentals::variables-and-types foundry::go
What is the zero value of a map in Go? What happens if you write to it?	`nil`. Reading returns the zero value for the value type, but writing panics. Must initialize with `make()` or a literal first.	foundry::fundamentals::variables-and-types foundry::go
What is the zero value of a slice in Go? Is it safe to use?	`nil`. Unlike maps, nil slices are safe — `append()` handles them. `len` and `cap` are both 0.	foundry::fundamentals::variables-and-types foundry::go
What do `&x`, `*p`, and `*int` mean in Go?	`&x` = address of x. `*p` = value at the address p holds (dereference). `*int` = the type "pointer to int".	foundry::fundamentals::variables-and-types foundry::go
How does passing structs differ between Go and JavaScript?	JS objects are always passed by reference — functions can mutate the original. Go structs are value types — passing copies the entire struct. Use `*` (pointer) to opt into reference semantics.	foundry::fundamentals::variables-and-types foundry::go
Why does `s2 := s1` (where s1 is a slice) share data, but `p2 := p1` (where p1 is a struct) does not?	A slice is a header (pointer + len + cap) — copying the header shares the underlying array. A struct contains its data directly — copying duplicates everything.	foundry::fundamentals::variables-and-types foundry::go
What is the difference between a typed and untyped constant in Go?	Untyped: `const x = 10` — adapts to context, can be used as int, float64, int32 etc. Typed: `const x int = 10` — locked to int, requires explicit conversion for other types.	foundry::fundamentals::variables-and-types foundry::go
When should you use a pointer receiver vs value receiver in Go?	Pointer receiver: when you need to mutate the struct, or the struct is large and copying is wasteful. Value receiver: for small, immutable types.	foundry::fundamentals::variables-and-types foundry::go
What is `iota` in Go?	An auto-incrementing integer generator used in `const` blocks. Starts at 0 and increments by 1 for each constant in the block. Commonly used for enums.	foundry::fundamentals::variables-and-types foundry::go
How does Go's type system differ from TypeScript's?	Go is static, structural (for interfaces), and strong (no implicit conversions — `int` and `int64` are different types). TS is static but with escape hatches (`any`), structural for all types, and weaker (implicit coercions inherited from JS).	foundry::fundamentals::variables-and-types foundry::go
