Front	Back	Tags
What does "type erasure" mean in TypeScript?	Types exist only at compile time and are completely removed before runtime. The JS engine never sees them. Consequence: zero runtime safety from types — your validation logic is your actual type safety.	foundry::fundamentals::variables-and-types foundry::typescript
What is the difference between `const x = 8080` and `let x = 8080` in terms of inferred types?	`const` infers the literal type `8080`. `let` widens to `number` because the value can change. Same applies to strings: `const` → `"hello"`, `let` → `string`.	foundry::fundamentals::variables-and-types foundry::typescript
What is a literal type in TypeScript?	A type narrowed to a specific value. `type Port = 8080` or `type Status = "active" | "inactive"`. The type is the value itself, not the broader category (number, string).	foundry::fundamentals::variables-and-types foundry::typescript
How does TypeScript's structural typing differ from Go's?	Both are structural, but Go checks methods (interfaces), TypeScript checks property shapes. TS: if the shape matches, the types are compatible. Go: if the methods match, the interface is satisfied.	foundry::fundamentals::variables-and-types foundry::typescript
Why is `typeof null === "object"` in JavaScript?	It's a bug from the original 1995 JS implementation that can never be fixed because it would break existing code. Always check `x !== null` separately.	foundry::fundamentals::variables-and-types foundry::typescript
What is the difference between `undefined`, `null`, and `void` in TypeScript?	`undefined`: declared but not assigned / missing property. `null`: explicitly set to "no value." `void`: function returns nothing (type-level only). With `strictNullChecks`, null and undefined are not assignable to other types.	foundry::fundamentals::variables-and-types foundry::typescript
What is a Smi in V8?	Small integer — stored inline as a tagged value with no heap allocation. Regular numbers that fit in 31 bits. Larger numbers and floats are boxed as HeapNumbers on the heap.	foundry::fundamentals::variables-and-types foundry::typescript
Why is `number` a problem for currency in TypeScript?	`number` is IEEE 754 double (64-bit float). `0.1 + 0.2 !== 0.3`. Precision is lost beyond 2^53. For currency, use integers (cents) or a decimal library. Never float.	foundry::fundamentals::variables-and-types foundry::typescript
What is the difference between a type assertion and a type guard?	Assertion (`as Type`): tells the compiler "trust me" — no runtime check. Type guard (`typeof`, `in`, custom `x is T`): actual runtime check that narrows the type safely. Prefer guards.	foundry::fundamentals::variables-and-types foundry::typescript
How does TS error handling (throw) compare to Go's (value, error) return?	Go: returns `(Config, error)`, caller checks `if err != nil`. TS: throws, caller needs `try/catch`. Go makes the error visible in the function signature. TS throws are invisible — nothing in the signature tells the caller the function can fail.	foundry::fundamentals::variables-and-types foundry::typescript
What does `as const` do in TypeScript?	Forces a literal type on a value. `let x = "debug" as const` gives type `"debug"` instead of `string`. Also makes objects/arrays deeply readonly with literal types for all values.	foundry::fundamentals::variables-and-types foundry::typescript
How does TypeScript's `number` compare to Go's numeric types?	TS has one `number` type (64-bit float). Go has `int`, `int8`, `int16`, `int32`, `int64`, `float32`, `float64` etc. — all separate types requiring explicit conversion. Go gives you control over size and precision. TS doesn't.	foundry::fundamentals::variables-and-types foundry::typescript
